srch_id,date_time,site_id,visitor_location_country_id,visitor_hist_starrating,visitor_hist_adr_usd,prop_country_id,prop_id,prop_starrating,prop_review_score,prop_brand_bool,prop_location_score1,prop_location_score2,prop_log_historical_price,price_usd,promotion_flag,srch_destination_id,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,srch_query_affinity_score,orig_destination_distance,random_bool,click_bool
21,152985,15,55,326,12836,216,61662,3,7,0,4.04,5360,4.54,47.94,1,18161,4,62,1,0,1,0,305668,685151,0,yes
42,62180,14,100,326,12836,100,48834,2,7,0,0.69,339,4.9,70.79,0,5740,1,87,2,0,1,1,305668,447733,0,yes
78,64188,5,205,326,12836,15,140297,4,7,0,4.62,235,5.07,116,0,8660,1,6,1,1,2,1,305668,685151,0,yes
93,104362,5,219,326,12836,99,138643,3,8,0,3.43,9533,5.24,138,1,13292,4,26,2,0,2,0,305668,261526,0,no
129,100220,5,35,326,12836,35,113958,3,7,0,3.85,1523,4.08,35,1,21207,2,1,1,0,1,1,305668,685151,0,yes
188,51832,15,55,326,12836,55,38585,3,9,0,0.69,9535,4.67,66.07,1,15784,3,13,1,0,1,0,305668,685151,0,no
229,313523,15,55,326,12836,99,40074,4,8,0,1.1,9541,5.07,135.77,0,16828,1,0,2,0,1,0,196576,685151,0,no
229,313523,15,55,326,12836,99,40074,4,8,0,1.1,9541,5.07,135.77,0,16828,1,0,2,0,1,0,196576,685151,0,no
267,249320,14,100,326,12836,100,1863,0,8,0,1.39,538,4.89,106.55,0,2651,1,13,2,2,1,1,305668,55254,0,no
365,268862,5,219,326,12836,219,13674,4,8,0,2.94,279,5.31,99,0,8347,5,5,2,1,1,0,305668,669835,0,no
366,181226,16,31,326,12836,98,69504,3,8,0,3.74,1505,4.61,60.94,1,25298,1,9,1,1,1,1,305668,470169,0,yes
431,343938,5,219,326,12836,219,98457,4,9,0,4.79,1092,0,259,0,18774,1,18,2,0,2,0,305668,685151,0,yes
461,11042,5,219,326,12836,219,105715,2,8,0,1.61,356,4.97,119,0,4695,1,1,2,0,1,1,305668,318851,0,no
512,29830,15,55,326,12836,219,99992,4,9,0,4.32,4281,6.21,299.73,0,21908,5,57,2,0,1,0,305668,685151,0,no
570,282352,14,100,326,12836,100,18716,3,8,0,2.4,918,4.97,107.87,0,2954,2,36,2,0,1,1,305668,106062,0,yes
582,140199,5,219,326,12836,219,106304,3,8,0,4.45,1194,5.33,159,1,13216,3,5,2,1,1,1,305668,144280,0,yes
686,163344,24,31,326,12836,31,68164,3,8,0,6.4,7833,5.02,69.91,1,2799,1,1,1,1,1,0,305668,87376,0,yes
698,171767,5,219,326,12836,219,39788,3,9,0,2.89,1908,5.23,89,0,18185,2,245,4,0,1,1,305668,134447,0,yes
698,171767,5,219,326,12836,219,39788,3,9,0,2.89,1908,5.23,89,0,18185,2,245,4,0,1,1,305668,134447,0,no
698,171767,5,219,326,12836,219,49179,3,9,0,2.71,454,4.79,141,0,18185,2,245,4,0,1,1,305668,133406,0,yes
698,171767,5,219,326,12836,219,49179,3,9,0,2.71,454,4.79,141,0,18185,2,245,4,0,1,1,305668,133406,0,no
712,116130,5,219,326,12836,219,24545,4,8,0,4.04,9541,5.22,117,0,965,3,116,3,1,1,0,305668,128438,0,no
766,61529,16,31,127,10383,31,134432,3,8,0,6.32,9541,5.05,59.53,0,18165,1,2,1,0,1,1,305668,75177,0,no
827,119338,9,59,326,12836,59,85225,3,8,0,2.89,2380,4.96,97.52,1,16278,2,30,2,0,1,0,305668,685151,0,yes
851,86441,5,219,326,12836,230,24871,3,7,0,3.33,294,5.36,168,0,21627,1,36,2,0,1,0,305668,114337,0,no
902,296578,19,158,326,12836,158,40314,4,7,0,3.18,9541,4.92,90.35,1,6204,4,190,2,0,1,0,305668,685151,0,yes
1010,268454,5,219,326,12836,212,107160,4,1,0,3.93,2100,5.14,95,1,27279,5,77,1,0,1,0,305668,685151,0,yes
1066,303854,15,55,221,8,16,66619,3,8,0,2.71,4106,4.97,103.6,0,873,1,31,1,0,1,1,305668,685151,0,yes
1113,293287,5,219,326,12836,99,17569,4,9,0,5.94,376,6.06,270,0,13292,5,111,2,1,1,0,305668,275450,0,no
1187,55611,5,14,326,12836,100,122596,2,6,0,4.44,9541,4.73,144,0,12454,2,153,2,0,1,1,305668,685151,0,no
1195,315575,32,220,326,12836,220,7719,5,8,0,1.1,63,6.07,214.68,0,4427,2,45,2,2,1,1,305668,617478,0,yes
1287,10360,16,31,326,12836,185,50536,1,1,0,0,9541,5.44,44.62,0,28186,6,3,1,0,1,0,305668,125250,0,no
1376,201032,5,219,326,12836,219,18888,0,8,0,0.69,842,5.04,159,0,21644,1,98,2,2,1,0,305668,685151,0,no
1440,130890,5,219,326,12836,55,94663,3,8,0,5.46,642,5.32,113,1,10979,1,7,1,0,1,0,305668,428083,0,no
1443,317732,14,100,326,12836,31,24017,3,8,0,6.9,6885,5.48,56.91,1,15733,4,212,2,0,1,1,305668,444610,0,yes
1458,302646,5,219,326,12836,219,48225,4,8,0,1.61,9541,4.73,122,1,28122,2,3,2,0,1,1,305668,482690,0,yes
1465,293359,5,219,326,12836,55,54650,3,7,0,5.29,3862,5.36,274,1,25801,7,62,2,1,1,0,305668,311008,0,no
1465,293359,5,219,326,12836,55,54650,3,7,0,5.29,3862,5.36,274,1,25801,7,62,2,1,1,0,305668,311008,0,no
1465,293359,5,219,326,12836,55,137426,4,8,0,5.35,1176,6.08,226,1,25801,7,62,2,1,1,0,305668,311034,0,no
1465,293359,5,219,326,12836,55,137426,4,8,0,5.35,1176,6.08,226,1,25801,7,62,2,1,1,0,305668,311034,0,no
1474,331082,5,219,326,12836,55,93033,4,7,0,5.66,427,5.28,305,1,9037,1,51,2,2,1,1,305668,304671,0,no
1474,331082,5,219,326,12836,55,93033,4,7,0,5.66,427,5.28,305,1,9037,1,51,2,2,1,1,305668,304671,0,no
1512,251609,24,216,326,12836,98,79211,4,8,0,5.1,3979,4.4,62.33,1,8612,1,12,2,0,1,1,305668,685151,0,yes
1584,32900,5,219,326,12836,219,81102,2,8,0,2.83,1671,4.84,154,0,3045,1,0,2,0,1,0,305668,68523,0,no
1619,274652,18,129,326,12836,129,68067,4,8,0,4.39,1367,5.03,195.44,0,11507,3,121,2,0,1,0,305668,251483,0,no
1639,296707,5,219,326,12836,100,6830,3,8,0,4.64,8656,5.13,169,0,9536,2,90,2,0,1,1,305668,143214,0,no
1642,73797,5,99,326,12836,99,38033,2,9,0,4.09,9541,4.82,131,0,2219,1,1,2,0,1,0,305668,685151,0,no
1716,275538,16,31,326,12836,31,79055,4,8,0,0,9541,4.75,137.54,0,24742,1,9,3,0,1,0,305668,88393,0,no
1785,65076,14,100,326,12836,100,25498,3,8,0,3.64,1421,5.15,104.71,0,20438,2,12,2,0,2,0,305668,121377,0,yes
1821,13817,15,55,326,12836,55,138146,3,9,0,4.23,1779,4.79,65.17,0,10475,1,2,1,0,1,0,305668,685151,0,yes
1831,195953,5,219,326,12836,31,85002,4,7,0,4.76,781,4.68,64,0,27966,1,9,2,0,1,1,305668,348579,0,yes
1860,63022,5,137,326,12836,219,64603,3,7,0,5.24,5410,5.24,149,0,25426,1,33,2,0,1,0,305668,685151,0,no
2007,155201,5,219,326,12836,219,10930,3,9,0,2.08,2170,4.48,60,1,3806,1,1,1,0,1,0,305668,413050,0,yes
2063,281457,10,31,326,12836,221,50277,4,9,0,0.69,84,4.95,137.18,0,4238,1,21,1,1,2,1,305668,30454,0,no
2124,35582,5,219,326,12836,219,121972,3,7,0,1.61,73,4.6,87,1,25479,2,39,1,0,1,0,305668,167378,0,yes
2141,302689,5,219,326,12836,219,42250,3,10,0,3.3,35,4.96,407,0,3694,2,11,2,1,1,1,305668,685151,0,no
2213,43705,24,216,326,12836,98,70734,3,8,0,4.14,131,4.36,41.77,0,24731,1,10,1,0,1,1,305668,685151,0,yes
2234,4958,24,216,326,12836,39,47308,4,8,0,4.33,746,5.35,146.96,0,15122,5,47,1,2,1,0,305668,685151,0,yes
2286,17108,5,219,326,12836,219,67284,4,7,0,2.56,1295,4.76,232,0,24153,2,44,2,0,1,1,33391,123582,0,yes
2315,19776,5,219,326,12836,159,18731,3,8,0,1.61,9541,5.78,116,1,12261,2,29,4,0,2,1,305668,53737,0,no
2327,389040,5,219,326,12836,219,24545,4,8,0,4.04,2772,0,79,1,8192,3,69,2,0,1,0,305668,102655,0,no
2366,348955,5,219,326,12836,219,111307,3,8,0,4.08,3202,0,139,0,16810,1,6,2,0,1,1,305668,672699,0,yes
2388,280208,5,219,326,12836,219,123042,2,7,0,2.89,474,4.41,69,0,15934,1,1,2,0,1,1,305668,36013,0,no
2392,26379,5,219,326,12836,55,117646,0,6,0,3.4,10,5.46,290,0,10979,6,25,2,3,1,0,305668,443202,0,yes
2410,55923,22,92,326,12836,39,119588,4,8,0,4.3,628,5.31,141.06,1,15122,5,22,2,1,1,0,305668,685151,0,no
2412,202518,5,219,326,12836,59,81396,4,8,0,3.71,432,5.49,111,1,6659,7,16,4,0,2,0,305668,119053,0,yes
2415,17793,15,55,326,12836,206,25315,3,1,0,1.95,9541,4.28,125.14,0,5317,8,18,2,0,1,0,305668,685151,0,no
2485,215352,24,216,326,12836,39,71171,2,5,0,1.95,62,4.52,60.59,0,15122,1,7,1,1,2,0,305668,685151,0,yes
2554,31529,14,100,326,12836,100,25223,4,8,0,4.96,849,5.19,119.85,0,2142,1,13,2,0,1,1,208531,75213,0,no
2644,177138,5,219,326,12836,134,131661,3,9,0,2.94,1308,5.51,135,0,7505,7,117,2,0,1,0,305668,156876,0,yes
2646,168438,19,158,326,12836,98,76541,3,7,0,2.2,474,3.21,16.87,0,341,2,3,1,1,1,1,305668,685151,0,yes
2662,334473,15,55,165,1141,26,70359,4,9,0,1.39,108,5.09,71.44,1,14232,1,272,2,1,1,1,305668,685151,0,no
2670,219786,5,219,326,12836,219,125080,4,9,0,1.79,9541,5.18,112,1,7041,2,19,2,0,1,0,305668,685151,0,yes
2681,213061,14,100,326,12836,55,4934,3,6,0,1.39,9541,4.48,89.91,0,5577,1,56,2,1,1,1,305668,333059,0,no
2760,3707,5,219,326,12836,100,11589,4,10,0,3.04,317,5.69,220,0,27906,1,8,3,0,1,0,305668,142143,0,no
2866,207062,5,212,326,12836,219,107404,5,9,0,3.66,2196,6.21,415,1,4138,6,33,2,1,1,0,305668,685151,0,yes
2876,61502,15,55,326,12836,55,72330,4,9,0,4.55,1403,5.03,107.26,1,18369,1,157,2,0,1,1,305668,685151,0,no
2887,332496,34,205,326,12836,31,71516,0,1,0,4.86,1953,5.98,411.78,0,4924,2,21,2,0,1,1,305668,685151,0,yes
2889,253333,24,216,326,12836,129,117058,3,7,0,4.91,1968,4.79,90.66,0,16076,2,9,2,0,1,0,305668,685151,0,yes
2893,260498,31,219,326,12836,98,46819,2,1,0,4.04,9541,3.41,15,1,4862,28,136,1,0,1,0,305668,529292,0,yes
3046,187510,5,219,326,12836,220,86048,5,9,0,3.81,76,5.47,253,0,22043,11,10,1,0,1,0,305668,672602,0,no
3088,72954,5,219,326,12836,219,35204,4,9,0,2.2,435,5.5,264,0,5206,2,2,2,0,1,0,305668,557852,0,no
3110,90143,5,219,227,7508,80,28494,2,6,0,2.89,212,4.75,69,0,6726,1,27,1,0,1,0,305668,275180,0,no
3137,314012,5,219,326,12836,219,91336,3,7,0,2.71,163,5.27,159,0,16570,2,11,2,0,1,1,305668,678994,0,no
3226,5822,24,216,227,6825,216,59303,2,6,0,4.62,456,4.33,90.34,0,20497,1,4,2,0,1,1,305668,685151,0,no
3242,253957,15,4,127,12689,4,111247,3,9,0,1.79,2712,4.34,81.41,0,8090,1,2,2,0,1,1,305668,685151,0,yes
3275,299955,16,31,326,12836,215,3150,3,1,0,0,9541,5.13,127.16,0,5538,3,47,2,0,1,1,305668,685151,0,no
3275,299955,16,31,326,12836,215,3150,3,1,0,0,9541,5.13,127.16,0,5538,3,47,2,0,1,1,305668,685151,0,yes
3275,299955,16,31,326,12836,215,90118,4,7,0,2.48,292,5.3,110.29,0,5538,3,47,2,0,1,1,305668,685151,0,no
3275,299955,16,31,326,12836,215,90118,4,7,0,2.48,292,5.3,110.29,0,5538,3,47,2,0,1,1,305668,685151,0,yes
3295,16462,5,219,326,12836,55,138069,4,9,0,5.72,656,5.62,138,1,10979,6,33,1,0,1,0,305668,278870,0,yes
3326,8506,5,219,326,12836,219,92874,4,9,0,4.06,3566,5.62,312,0,27182,2,16,2,0,1,1,305668,229438,0,no
3342,360927,5,219,326,12836,219,125070,3,7,0,0.69,4237,0,209,0,11366,2,9,2,0,1,0,305668,522218,0,yes
3344,231720,5,219,326,12836,219,84591,4,9,0,2.64,1445,5.1,125,0,4828,1,1,2,0,1,1,42494,685151,0,yes
3385,391012,5,219,326,12836,219,14724,3,9,0,2.2,483,0,119,0,24994,1,8,2,0,1,1,305668,14035,0,no
3386,356161,5,219,326,12836,132,20917,3,8,0,5.24,9541,0,87,0,12506,5,6,2,0,1,0,305668,318567,0,no
3393,389954,7,100,326,12836,99,15521,3,8,0,2.08,962,0,101.72,0,22558,2,11,1,0,1,0,305668,284542,0,yes
3449,165224,5,219,326,12836,219,122943,3,6,0,2.2,9541,4.92,100,0,2155,1,5,2,1,1,1,305668,685151,0,no
3462,282194,5,219,326,12836,219,12283,4,7,0,5,4564,5.46,257,1,25426,1,2,2,0,1,1,305668,176835,0,yes
3585,170324,14,219,326,12836,31,18685,5,9,0,3.66,723,5.62,274.6,1,1718,7,93,4,0,2,0,305668,427391,0,yes
3693,99772,5,219,326,12836,219,45861,3,9,0,1.39,4928,4.59,75,0,22229,3,94,2,0,1,1,305668,631846,0,yes
3698,133727,32,220,326,12836,219,22013,3,7,0,3.43,2170,4.94,88.42,0,26067,3,95,2,0,1,0,305668,669392,0,yes
3698,133727,32,220,326,12836,219,22013,3,7,0,3.43,2170,4.94,88.42,0,26067,3,95,2,0,1,0,305668,669392,0,no
3707,339859,5,100,326,12836,219,55791,2,8,0,4.03,9541,0,197,0,21909,5,23,2,1,1,0,305668,192983,0,no
3733,304269,31,219,326,12836,219,65529,3,8,0,0,250,4.49,75,0,8721,6,48,2,0,1,0,305668,174888,0,yes
3808,391665,5,219,326,12836,31,139661,3,8,0,3.14,182,0,63,1,4463,1,69,2,0,1,1,305668,304984,0,no
3829,232003,14,100,326,12836,219,68002,4,8,0,4.57,1220,5.45,171.5,1,18774,3,22,2,0,1,1,305668,571551,0,no
