srch_id,date_time,site_id,visitor_location_country_id,visitor_hist_starrating,visitor_hist_adr_usd,prop_country_id,prop_id,prop_starrating,prop_review_score,prop_brand_bool,prop_location_score1,prop_location_score2,prop_log_historical_price,position,price_usd,promotion_flag,srch_destination_id,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,srch_query_affinity_score,orig_destination_distance,random_bool,Cluster,click_bool
11,163954,5,219,326,12836,219,83769,4,9,1,2.08,9541,5.24,37,123,0,12610,1,39,2,0,1,1,305668,225877,1,cluster1,no
11,163954,5,219,326,12836,219,83769,4,9,1,2.08,9541,5.24,37,123,0,12610,1,39,2,0,1,1,305668,225877,1,cluster1,no
11,163954,5,219,326,12836,219,27675,3,9,1,1.1,1618,4.7,7,85,0,12610,1,39,2,0,1,1,305668,219963,1,cluster1,no
11,163954,5,219,326,12836,219,27675,3,9,1,1.1,1618,4.7,7,85,0,12610,1,39,2,0,1,1,305668,219963,1,cluster1,no
17,6354,18,129,326,12836,31,87596,3,5,0,6.91,7239,5.07,28,182.98,0,6285,4,194,4,1,2,1,305668,340604,1,cluster1,yes
56,229769,5,219,326,12836,158,68902,5,7,1,2.4,985,5.12,1,83,0,21401,5,96,1,0,1,0,305668,569406,1,cluster1,no
71,193742,24,216,326,12836,98,109466,3,6,0,0,9541,3.7,12,16.9,0,341,1,18,1,1,1,1,305668,685151,1,cluster1,no
101,153069,12,99,326,12836,219,72004,3,7,1,1.79,441,5.24,16,161.55,0,27620,1,74,4,1,2,1,305668,685151,1,cluster1,no
119,351213,23,181,326,12836,55,109727,3,8,1,3.4,110,0,6,130.66,0,21435,3,60,2,2,1,1,305668,685151,1,cluster1,yes
134,333478,5,219,326,12836,219,17809,4,9,0,1.95,120,5.49,19,232,1,3694,2,6,2,0,1,1,305668,650527,1,cluster1,no
147,114807,5,219,326,12836,219,17105,4,8,1,4.78,2646,5.41,6,69,0,12452,2,7,1,0,1,1,305668,79121,1,cluster1,yes
147,114807,5,219,326,12836,219,17105,4,8,1,4.78,2646,5.41,6,69,0,12452,2,7,1,0,1,1,305668,79121,1,cluster1,no
147,114807,5,219,326,12836,219,74298,4,10,1,4.79,2813,5.56,29,127,1,12452,2,7,1,0,1,1,305668,79117,1,cluster1,yes
147,114807,5,219,326,12836,219,74298,4,10,1,4.79,2813,5.56,29,127,1,12452,2,7,1,0,1,1,305668,79117,1,cluster1,no
152,20298,5,219,326,12836,219,62965,2,8,1,1.61,9541,4.33,20,74,0,9268,2,50,2,0,1,1,305668,505647,1,cluster1,no
160,358836,22,92,326,12836,99,25250,3,7,1,5.08,2293,0,15,105.42,0,5474,3,57,2,0,1,1,305668,685151,1,cluster1,yes
187,282639,5,219,326,12836,100,90665,4,9,1,4.49,3852,5.56,27,165,0,15438,2,23,1,0,1,0,305668,685151,1,cluster1,no
207,15802,5,219,326,12836,219,138470,5,9,1,5.61,743,6.21,9,1242,1,4562,2,127,2,2,1,0,305668,64293,1,cluster1,yes
213,103834,18,129,326,12836,195,67153,3,7,1,1.61,9541,5.07,14,159.81,0,20954,1,28,2,0,1,1,305668,685151,1,cluster1,yes
213,103834,18,129,326,12836,195,67153,3,7,1,1.61,9541,5.07,14,159.81,0,20954,1,28,2,0,1,1,305668,685151,1,cluster1,yes
213,103834,18,129,326,12836,195,102706,3,8,1,1.61,9541,5.24,16,207.75,0,20954,1,28,2,0,1,1,305668,685151,1,cluster1,yes
213,103834,18,129,326,12836,195,102706,3,8,1,1.61,9541,5.24,16,207.75,0,20954,1,28,2,0,1,1,305668,685151,1,cluster1,yes
220,392705,5,219,326,12836,131,31202,3,8,0,0.69,1078,0,2,53,0,26229,7,254,2,0,1,0,305668,462020,1,cluster1,no
300,85621,14,100,326,12836,219,5090,4,8,1,4.77,4615,5.33,24,143.02,1,20319,14,70,2,0,1,0,305668,291903,1,cluster1,no
396,183800,5,219,326,12836,219,40286,0,2,0,0.69,9541,5.4,9,54,0,11846,3,28,2,0,1,1,305668,262083,1,cluster1,yes
416,16717,5,219,326,12836,219,21688,3,8,0,3.4,4675,5.31,4,79,0,12896,4,125,2,0,1,0,51846,243084,1,cluster1,yes
442,359196,5,219,326,12836,219,63959,2,6,1,1.79,12,0,24,91,0,18410,3,29,2,0,1,1,305668,634362,1,cluster1,no
466,90400,5,219,326,12836,194,70954,5,6,1,2.71,249,5.45,3,124,0,7382,1,7,1,0,1,1,305668,529590,1,cluster1,no
483,99152,5,219,326,12836,59,87975,4,8,1,2.94,1047,5.9,7,232,1,22835,7,45,4,0,1,0,305668,83527,1,cluster1,no
484,193079,5,219,326,12836,219,123832,3,9,0,2.71,773,5.25,1,249,0,19145,3,4,2,0,1,1,305668,36996,1,cluster1,yes
490,227460,5,219,326,12836,219,61179,3,7,0,2.2,9541,4.71,18,119,0,12736,1,19,2,0,1,1,305668,281453,1,cluster1,no
511,221876,5,23,326,12836,219,105720,3,9,1,2.2,193,5.54,25,152,0,7100,2,64,2,2,1,1,305668,685151,1,cluster1,no
551,221109,5,219,326,12836,219,120309,3,9,1,2.71,9541,5.02,10,89,0,9087,3,2,2,0,1,1,127073,473408,1,cluster1,yes
571,105536,14,100,326,12836,219,30343,3,9,1,3.04,45,5.45,21,170.41,1,12582,5,65,3,0,1,0,305668,235188,1,cluster1,no
616,124215,32,220,326,12836,60,17645,4,9,0,5.86,6702,5.2,7,108.41,0,20446,2,182,1,0,1,1,305668,680160,1,cluster1,yes
620,356562,12,99,326,12836,31,60612,3,9,0,6.98,9541,0,24,247.67,0,9483,2,17,2,0,1,1,305668,685151,1,cluster1,no
663,51508,5,219,326,12836,219,29902,3,9,1,0.69,4,5,24,109,0,4687,3,262,2,0,1,1,305668,170522,1,cluster1,no
700,44847,5,219,326,12836,219,74007,4,8,1,3.95,1011,5.25,22,86,0,4589,6,37,2,0,1,0,305668,347172,1,cluster1,yes
752,33887,5,219,326,12836,219,96516,3,8,1,2.3,4147,4.7,3,93,0,25084,3,45,2,0,1,1,305668,685151,1,cluster1,no
782,150722,5,219,326,12836,219,115310,3,8,0,4.04,977,5.28,15,139,0,15307,2,5,2,0,1,1,305668,685151,1,cluster1,yes
811,64088,15,55,326,12836,55,43062,3,8,1,3.09,9541,4.69,19,104.18,0,6664,2,137,2,0,2,0,305668,685151,1,cluster1,no
874,46726,5,219,326,12836,219,17633,4,8,1,5.86,9541,5.95,14,509,0,10024,1,1,3,3,2,1,305668,112669,1,cluster1,yes
938,86807,5,219,326,12836,219,90013,3,9,1,3.3,1324,5.22,34,139,0,20874,1,1,1,0,1,0,305668,413009,1,cluster1,no
952,255591,5,178,326,12836,178,111833,4,8,1,0,637,5.22,6,120,0,6789,2,8,3,0,2,1,305668,685151,1,cluster1,yes
961,108296,24,219,326,12836,219,72057,2,6,0,4.5,3690,5.12,1,99.55,0,4072,7,31,1,0,1,0,305668,215569,1,cluster1,yes
981,74764,5,219,326,12836,219,44421,2,6,1,2.2,4046,4.42,2,53,0,27192,5,7,1,0,1,0,305668,328653,1,cluster1,no
1046,288315,5,219,326,12836,219,123391,4,10,1,2.83,123,5.86,36,279,0,23904,2,4,2,1,1,1,305668,104875,1,cluster1,yes
1064,250765,14,100,326,12836,219,12189,4,6,0,3.99,1234,4.76,30,122.34,0,3694,7,91,2,3,1,0,305668,685151,1,cluster1,yes
1102,163721,5,219,326,12836,219,24519,3,8,1,3.53,247,5.06,13,179,1,17713,7,222,2,3,1,0,305668,685151,1,cluster1,no
1117,123713,14,100,326,12836,100,39016,2,8,0,3.64,839,4.88,8,104.29,0,20438,1,2,2,0,1,1,305668,523624,1,cluster1,yes
1188,239249,24,216,326,12836,216,47137,2,9,0,2.2,9541,5.02,14,44.37,0,25288,2,124,2,0,1,1,305668,685151,1,cluster1,no
1207,267894,5,219,326,12836,219,106230,4,8,0,4.22,1579,5.24,1,165,1,9899,2,68,2,2,1,0,305668,265264,1,cluster1,yes
1326,137746,14,100,326,12836,202,46413,3,6,0,0,9532,4.88,7,61.88,1,15122,4,92,2,0,1,0,305668,599537,1,cluster1,no
1337,77598,5,219,326,12836,99,110700,5,9,0,6,473,6.21,4,481,0,13292,5,191,4,1,2,0,305668,271445,1,cluster1,yes
1369,165623,5,219,326,12836,127,88192,4,8,1,3.04,2639,6.21,19,482,1,19884,4,19,2,0,1,0,305668,8203,1,cluster1,no
1382,187856,5,219,326,12836,219,29811,4,9,1,3.37,1633,5.3,15,199,0,4041,3,51,1,0,1,0,305668,451248,1,cluster1,yes
1450,123176,5,219,326,12836,219,63691,4,6,0,2.3,515,4.94,7,159,0,19363,7,45,4,0,1,0,305668,269801,1,cluster1,no
1497,130880,19,158,326,12836,158,21387,4,9,0,2.2,102,4.91,7,112.92,1,28369,1,10,2,0,1,1,305668,685151,1,cluster1,no
1508,241882,5,219,326,12836,219,120851,4,8,1,5.89,4094,5.74,29,267,1,5872,3,9,2,0,1,1,305668,199203,1,cluster1,no
1533,249737,5,219,326,12836,219,130968,4,9,1,4.81,3528,5.57,28,147,1,20319,1,51,2,2,1,0,305668,370624,1,cluster1,yes
1648,194306,5,219,326,12836,219,100562,3,10,1,0.69,30,5.09,18,140,0,1986,1,2,2,0,1,1,305668,80632,1,cluster1,yes
1670,363104,24,216,326,12836,103,100731,3,1,1,2.89,9541,0,10,150.68,0,11197,1,21,2,0,1,1,305668,685151,1,cluster1,no
1739,98309,5,160,326,12836,99,54626,3,8,1,5.99,1891,5.35,4,152,0,9082,8,26,2,0,1,0,305668,685151,1,cluster1,yes
1790,240075,16,31,179,5334,219,48136,3,7,0,5.45,1016,5.57,3,204.24,0,5143,6,112,5,0,2,0,305668,310262,1,cluster1,no
1846,379934,18,129,326,12836,129,19665,3,1,0,0,9541,0,26,85.29,0,12552,2,61,2,0,1,1,305668,49787,1,cluster1,no
1879,104713,5,219,326,12836,219,117779,3,9,1,0.69,9541,5.28,32,109,0,2141,2,231,2,0,1,1,92088,685151,1,cluster1,no
1894,239076,15,55,326,12836,55,100917,3,7,0,1.1,9541,4.94,34,64.42,0,6240,4,2,2,0,1,0,305668,685151,1,cluster1,yes
1903,270345,5,219,186,8439,219,44883,2,6,0,3.91,1567,4.69,8,163,0,9358,3,70,2,0,1,1,305668,360938,1,cluster1,no
1927,91698,5,219,326,12836,219,93907,2,9,1,2.08,1863,4.21,1,90,0,9936,1,23,2,1,1,1,305668,348158,1,cluster1,yes
1940,285333,5,219,326,12836,219,40643,0,1,0,3.09,9541,5.05,12,160,0,9950,2,8,2,1,1,0,187723,191037,1,cluster1,no
1964,347127,5,219,326,12836,100,104112,4,9,1,3.91,2272,0,2,355,1,4601,1,20,2,2,1,1,305668,317803,1,cluster1,no
1968,89207,5,219,326,12836,219,114866,2,6,1,0,792,4.21,7,80,0,14074,3,44,1,0,1,1,305668,490994,1,cluster1,yes
2041,323558,5,219,326,12836,219,21317,4,8,1,2.3,1595,5.05,2,109,0,10603,1,14,2,0,1,1,305668,72994,1,cluster1,yes
2059,153365,14,100,326,12836,219,14024,4,9,1,3.74,768,5.36,35,136.54,0,24162,5,36,7,5,4,0,305668,36808,1,cluster1,yes
2065,180228,18,129,326,12836,219,59081,4,8,1,4.79,3159,5.24,16,172.28,0,9111,3,172,3,0,2,1,305668,342102,1,cluster1,no
2074,38735,12,65,252,8507,50,74193,5,8,0,4.17,129,6.19,18,1271.59,0,874,4,71,2,0,1,1,305668,685151,1,cluster1,no
2150,70135,19,158,326,12836,158,124856,4,7,0,2.2,89,5.15,22,342.78,0,18757,2,1,6,0,3,1,305668,685151,1,cluster1,no
2167,306908,14,100,326,12836,219,116536,2,8,0,1.1,11,4.43,19,80.43,0,13539,2,2,4,2,2,1,305668,206426,1,cluster1,yes
2195,317630,5,59,177,1874,219,73823,3,9,1,1.39,2688,5.04,9,122,0,3358,12,11,1,0,1,0,305668,142356,1,cluster1,no
2212,72461,14,100,326,12836,100,25223,4,8,0,4.96,1573,5.18,26,119.36,0,15438,1,7,1,0,1,1,305668,280111,1,cluster1,no
2247,312102,5,219,326,12836,219,122713,4,9,1,3.22,1207,5.57,3,349,0,8740,1,5,1,0,1,1,305668,548553,1,cluster1,yes
2275,299576,14,100,326,12836,109,119500,3,9,0,1.1,12,4.93,18,82.13,0,12420,7,62,3,0,2,0,305668,354399,1,cluster1,yes
2275,299576,14,100,326,12836,109,119500,3,9,0,1.1,12,4.93,18,82.13,0,12420,7,62,3,0,2,0,305668,354399,1,cluster1,yes
2275,299576,14,100,326,12836,109,101016,4,8,0,5.29,1364,4.88,4,120.72,0,12420,7,62,3,0,2,0,305668,354839,1,cluster1,yes
2275,299576,14,100,326,12836,109,101016,4,8,0,5.29,1364,4.88,4,120.72,0,12420,7,62,3,0,2,0,305668,354839,1,cluster1,yes
2367,12651,5,219,326,12836,80,122663,3,8,0,3.37,9541,5.5,22,190,1,5238,3,138,4,0,1,1,305668,49154,1,cluster1,no
2405,276161,22,92,326,12836,216,121358,3,6,0,4.06,9541,4.82,21,101.32,0,10889,3,135,2,0,1,0,305668,685151,1,cluster1,yes
2405,276161,22,92,326,12836,216,121358,3,6,0,4.06,9541,4.82,21,101.32,0,10889,3,135,2,0,1,0,305668,685151,1,cluster1,no
