"srch_id","date_time","site_id","visitor_location_country_id","visitor_hist_starrating","visitor_hist_adr_usd","prop_country_id","prop_id","prop_starrating","prop_review_score","prop_brand_bool","prop_location_score1","prop_location_score2","prop_log_historical_price","position","price_usd","promotion_flag","srch_destination_id","srch_length_of_stay","srch_booking_window","srch_adults_count","srch_children_count","srch_room_count","srch_saturday_night_bool","srch_query_affinity_score","orig_destination_distance","random_bool","click_bool","gross_bookings_usd"
6,8500,14,100,272,2444,"100",22135,0,10,0,1.95,8727,0,6,115.03,0,21106,1,5,2,0,1,0,75413,233778,0,0,28740
52,15379,16,31,272,2444,"215",462,4,8,1,0,134,0,26,97.81,0,23641,2,7,1,0,1,0,75413,285816,0,0,28740
61,42277,5,219,272,2444,"219",107306,3,7,1,1.95,8727,0,10,139,0,18040,4,359,2,0,1,0,75413,73694,1,0,28740
81,48907,5,219,272,2444,"219",95600,2,4,1,0.69,8718,0,12,80,0,13539,1,3,2,2,1,1,75413,42126,1,0,28740
106,31091,5,219,272,2444,"219",92570,3,7,1,2.56,4401,0,1,119,1,25427,1,24,2,2,1,1,75413,47823,0,0,28740
118,32805,5,219,272,2444,"219",27091,2,5,1,3,3600,0,16,77,0,13502,3,31,2,2,1,1,75413,119960,0,0,28740
119,16006,23,181,272,2444,"55",51912,5,9,1,3.89,8727,0,4,589.59,0,21435,3,60,2,2,1,1,75413,289504,1,0,28740
139,23669,24,219,272,2444,"219",23268,4,7,0,5.79,6135,0,13,200.27,1,24700,1,18,2,0,1,0,75413,100498,1,0,28740
151,15969,26,39,272,2444,"202",103654,4,6,0,0.69,734,0,3,151.33,1,4851,1,20,5,0,2,1,75413,289504,0,1,20223
160,23629,22,92,272,2444,"99",80535,2,7,0,5.82,716,0,10,135.77,0,5474,3,57,2,0,1,1,75413,289504,1,0,28740
180,57018,5,219,272,2444,"219",36877,2,5,1,2.77,466,0,14,49,0,3069,3,1,2,0,1,0,75413,86432,1,0,28740
184,48421,18,129,148,1780,"219",136797,2,8,0,1.61,4380,0,1,185.77,0,24483,1,46,2,1,1,1,75413,289504,0,1,9245
185,54406,5,219,272,2444,"127",19992,3,8,0,1.39,50,0,7,131,0,14019,4,10,2,1,1,0,75413,227087,0,0,28740
220,57498,5,219,272,2444,"131",100682,3,7,0,0,831,0,8,38,1,26229,7,254,2,0,1,0,75413,212879,1,0,28740
242,5881,5,219,272,2444,"219",67246,3,9,1,1.79,2967,0,7,169,0,11146,2,12,2,0,1,0,75413,20055,0,0,28740
292,43201,18,129,272,2444,"129",19207,5,9,1,4.72,395,0,13,152.21,0,19968,3,103,2,0,1,1,75413,92103,1,0,28740
293,12872,14,100,272,2444,"100",83096,3,8,1,2.08,686,0,9,72.57,1,7306,1,56,2,0,1,1,75413,289504,1,1,28740
297,7248,5,219,272,2444,"219",22463,0,8,1,2.08,8727,0,15,135,0,25578,2,10,1,0,1,1,75413,229271,0,0,28740
321,51989,24,216,272,2444,"92",12024,3,1,0,3.14,8727,0,8,46.64,0,27347,4,72,2,1,1,1,75413,289504,1,0,28740
322,33704,5,219,272,2444,"219",88579,3,10,1,2.83,8727,0,24,129,0,25798,1,31,2,1,1,1,75413,251705,0,0,28740
325,3891,5,219,272,2444,"219",21111,4,7,1,3.61,2779,0,3,289,0,28357,1,12,2,0,1,1,75413,39693,1,0,28740
328,10561,5,219,272,2444,"219",86445,2,9,1,2.48,352,0,25,60,0,13570,4,0,1,0,1,1,75413,214559,1,0,28740
329,34385,18,129,272,2444,"91",52083,5,8,1,4.19,2619,0,7,131.26,1,13328,7,12,2,0,1,0,75413,16328,1,0,28740
359,21235,5,219,272,2444,"219",14660,4,9,1,0.69,8727,0,7,119,0,21777,1,26,2,0,1,0,75413,63514,1,0,28740
392,34864,5,219,272,2444,"219",106560,4,9,1,2.64,87,0,12,124,0,4182,2,3,2,0,1,1,75413,138008,1,0,28740
413,16439,5,219,272,2444,"100",128115,3,8,1,2.56,8727,0,28,198,0,3410,2,11,2,1,1,1,75413,22244,0,0,28740
428,41575,18,129,272,2444,"129",85316,4,8,1,1.79,8727,0,9,97.1,0,3477,3,7,2,0,1,1,75413,274882,0,0,28740
431,8731,5,219,272,2444,"219",131344,5,10,1,4.58,1364,0,31,495,0,18774,1,18,2,0,2,0,75413,289504,0,0,28740
434,694,14,9,272,2444,"9",90798,3,9,1,5.23,4881,4.35,6,59.76,0,26837,1,6,2,1,1,1,75413,289504,0,1,22482
442,23989,5,219,272,2444,"219",98008,2,6,1,2.56,517,0,2,57,0,18410,3,29,2,0,1,1,75413,269371,1,0,28740
455,2242,5,219,272,2444,"219",17997,3,7,0,0.69,109,4.85,27,119,0,23666,3,8,2,1,1,0,75413,16956,0,0,28740
458,15724,24,216,272,2444,"92",137410,2,11,0,0,8727,0,6,76.03,0,26911,2,54,2,0,1,1,75413,289504,0,0,28740
523,8453,5,219,272,2444,"219",121305,3,9,1,2.08,788,0,13,107,0,3806,1,8,2,1,1,1,75413,279649,0,0,28740
527,18538,31,219,272,2444,"219",45609,2,7,1,2.56,184,0,3,85,1,21382,2,10,2,0,1,1,75413,120229,0,0,28740
545,25119,16,31,272,2444,"31",109967,2,1,0,0,8727,0,20,93.63,0,16101,1,113,2,0,1,1,75413,60152,1,0,28740
547,31167,5,219,272,2444,"219",67369,3,9,1,2.77,5790,0,13,149,0,21473,1,2,1,0,1,0,75413,289504,0,0,28740
558,23888,14,100,148,1453,"100",25566,3,8,0,4.45,737,0,12,156.51,0,6792,1,4,1,0,1,0,75413,289504,0,0,28740
560,50409,5,219,272,2444,"219",8894,2,8,1,0.69,207,0,15,75,0,4687,1,1,1,0,1,1,75413,251654,0,0,28740
589,9342,26,39,272,2444,"98",20651,5,10,1,4.26,2719,0,8,164.87,0,6753,2,4,4,1,1,0,75413,289504,0,0,28740
606,6520,5,219,272,2444,"219",63229,4,8,1,5.19,4596,0,15,225,1,8812,2,4,4,0,1,1,75413,145984,0,0,28740
611,1932,5,219,272,2444,"59",39287,3,7,0,4.48,1941,4.35,9,47,1,18535,4,19,3,1,1,1,75413,282148,0,0,28740
620,21355,12,99,272,2444,"31",120066,4,7,0,6.87,8727,0,12,218.38,0,9483,2,17,2,0,1,1,75413,289504,1,0,28740
630,39687,15,219,272,2444,"219",118641,2,8,0,5.09,8727,0,2,220.22,0,17717,3,22,2,2,1,1,75413,274790,0,0,28740
649,20575,16,31,272,2444,"16",35597,3,8,0,2.71,4193,0,6,111.85,0,873,1,42,2,0,1,0,75413,24667,0,0,28740
669,45198,5,219,272,2444,"219",46655,2,7,1,1.79,657,0,32,55,0,13893,1,2,2,0,2,0,75413,64031,0,0,28740
681,16056,11,103,272,2444,"103",101671,5,8,0,4.39,3956,0,6,77.3,1,13319,3,7,1,0,1,0,75413,289504,0,0,28740
683,4909,5,219,272,2444,"31",68164,3,8,0,6.4,1678,0,15,102,1,23840,3,53,3,0,1,1,75413,159724,0,0,28740
703,38242,5,219,272,2444,"219",20879,2,5,1,1.1,8727,0,24,80,0,5103,1,35,2,0,1,1,75413,289504,0,0,28740
706,6833,15,55,272,2444,"99",44185,5,9,1,3.47,1713,0,2,437.91,0,592,2,6,2,0,2,0,75413,289504,0,1,7211
710,34417,14,220,165,1758,"220",97275,4,8,1,4.36,4162,0,25,143.95,0,19553,3,2,2,0,1,1,75413,269697,0,0,28740
719,47941,5,219,272,2444,"219",25176,2,7,1,2.2,7173,0,2,52,0,26112,1,54,2,0,1,0,75413,92032,0,0,28740
773,49898,24,216,272,2444,"219",26819,3,9,1,3.53,1120,0,21,182.72,0,13202,2,30,2,0,1,1,75413,289504,0,0,28740
780,14302,5,219,272,2444,"219",104757,3,8,1,4.37,3030,0,35,160,0,11323,1,0,2,0,1,1,75413,93226,0,0,28740
781,13526,12,99,272,2444,"219",102740,3,6,0,4.49,675,0,22,112.34,1,4138,5,55,2,2,1,0,75413,289504,1,0,28740
791,5345,32,220,272,2444,"81",51588,5,10,1,4.37,1864,0,13,181.73,0,25614,2,87,2,0,1,1,75413,154332,0,0,28740
808,6331,24,216,272,2444,"98",138386,5,10,0,3.93,190,0,18,401.73,0,23561,2,80,2,0,1,1,75413,289504,1,0,28740
891,8633,14,100,272,2444,"100",20069,3,9,1,2.56,2021,0,8,164.33,0,14161,2,14,2,0,1,0,75413,47792,1,0,28740
913,485,5,219,272,2444,"219",89193,2,6,1,5.06,8727,4.73,2,97,0,8850,1,1,2,0,1,0,75413,55,1,0,28740
921,17087,5,219,272,2444,"219",45129,4,8,1,3.3,8727,0,7,146,0,150,4,32,1,0,1,1,75413,137667,1,0,28740
926,28509,15,55,272,2444,"215",89552,5,10,0,2.77,43,0,7,351.81,0,8442,2,48,2,0,1,1,75413,289504,1,0,28740
935,13486,5,219,272,2444,"219",52209,3,7,1,4.17,8727,0,18,349,0,8556,2,2,1,0,1,0,75413,289504,0,0,28740
942,23856,5,219,272,2444,"219",12025,3,8,1,1.79,30,0,38,119,0,4324,1,2,2,0,1,1,75413,289504,1,0,28740
969,24486,14,100,272,2444,"100",119794,4,8,1,4.23,1860,0,15,195.89,0,21871,1,1,2,1,1,1,75413,142497,0,0,28740
982,32842,18,129,272,2444,"129",81208,3,9,0,4.33,8727,0,27,80.2,0,19968,2,46,2,0,1,1,75413,80434,1,0,28740
983,45636,5,219,272,2444,"219",92868,2,8,1,3.95,304,0,22,109,0,11580,2,3,4,1,2,1,75413,83649,1,0,28740
986,6306,5,219,272,2444,"219",122138,4,9,1,1.79,6,0,1,157,1,3482,2,1,2,0,1,0,75413,153389,0,0,28740
1004,33982,32,220,272,2444,"32",69334,4,8,0,4.45,1610,0,33,269.37,0,16363,2,50,2,0,1,0,75413,5622,1,0,28740
1009,8486,32,220,272,2444,"219",54663,0,9,1,1.39,8727,0,21,94.47,0,15428,6,14,2,0,1,0,75413,263313,0,0,28740
1027,47019,5,219,272,2444,"219",81329,3,8,1,1.39,3193,0,1,169,0,4672,2,5,2,0,1,1,7137,236118,0,0,28740
1032,35378,5,219,272,2444,"219",30927,3,9,0,2.08,3626,0,2,80,0,22618,1,0,2,0,1,0,75413,36,0,0,28740
1042,39832,5,219,272,2444,"138",62743,2,7,0,4.2,109,0,22,96,0,26389,2,1,2,0,1,1,75413,289504,0,0,28740
1061,15122,1,13,272,2444,"125",140751,5,10,1,0.69,8727,0,4,2087.68,0,14156,1,36,2,3,1,0,75413,289504,1,0,28740
1063,58644,5,219,272,2444,"99",38278,3,8,1,2.94,8727,0,18,63,0,2827,4,84,2,0,1,0,75413,136737,0,0,28740
1069,27167,15,55,272,2444,"219",69664,3,9,1,3.09,8727,0,32,91.09,0,6819,1,21,1,0,1,1,75413,289504,1,0,28740
1082,38313,7,100,34,2351,"100",93831,3,7,1,0.69,1255,0,7,95.31,0,25044,1,0,1,0,1,1,75413,30479,0,0,28740
1098,26720,24,216,272,2444,"219",79596,2,6,1,2.3,77,0,9,64.72,1,13870,3,9,2,0,2,0,75413,289504,0,0,28740
1099,43062,5,219,272,2444,"219",115194,2,7,1,2.4,353,0,14,70,0,22134,1,0,2,0,1,1,75413,51783,1,0,28740
1131,19055,9,59,272,2444,"31",61995,1,8,0,6.44,8727,0,32,129.23,0,14856,2,61,2,2,1,1,75413,227342,1,0,28740
1135,45399,5,219,272,2444,"55",138208,4,8,1,4.45,86,0,7,389,0,10979,7,19,6,1,2,0,75413,135803,0,0,28740
1151,23806,5,125,272,2444,"138",65370,3,8,0,0,8722,0,15,165,0,26389,1,5,1,1,1,0,75413,289504,0,0,28740
