SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30.59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60.89DaysPastDueNotWorse,NumberOfDependents
y,0.534242054,42,1,0.792490558,4500,8,0,2,0,0
n,0.003153965,71,0,0.30621435,3330,14,0,1,0,0
n,0.245191827,53,0,0.238513897,7051,3,0,1,0,0
n,0.563109469,72,0,1.14349704,6250,18,0,3,0,1
n,0.090163661,57,0,0.192652746,12929,9,0,1,0,3
n,0.091636335,72,0,0.849607183,890,2,0,0,0,0
n,0.042382315,47,0,0.41632296,8000,17,0,2,0,2
n,0.077311832,36,1,2.41011236,1245,11,0,3,0,1
n,0.198307754,51,1,0.061750176,2833,7,0,0,0,0
n,0.061389745,52,0,1.037067888,2400,11,0,1,0,0
n,0.564250668,34,1,0.345351609,3355,11,0,0,0,0
n,0.136435679,51,0,0.171140681,13000,11,1,2,0,3
n,0.832212325,32,1,1.208333333,1655,4,0,1,0,0
n,0.980005713,45,0,0.03398867,3000,1,0,0,0,0
n,0.057130933,33,0,0.452909418,5000,8,0,2,0,0
n,0.716566866,21,0,0.086378738,300,2,0,0,0,0
n,0.647246827,38,1,0.351218848,7342,12,0,3,0,0
n,0,23,0,0,,1,0,0,0,0
n,0.9999999,45,1,0.4826424,2966,5,0,1,0,0
n,0.045955164,42,0,0.264810235,9300,9,0,2,0,4
n,0.022232041,60,0,0.008489181,31333,4,0,0,0,0
n,0.000535695,59,0,0.972507582,10220,11,0,4,0,0
n,0.087060455,76,0,825,,9,0,2,0,
n,0.263673167,48,0,5096,0,9,0,3,0,3
n,0.08952507,64,0,1.05439756,5900,7,0,4,0,0
n,0.652797425,54,0,0.697064796,5416,7,0,1,0,1
n,0.729693695,39,0,0.517386231,4284,9,0,1,0,0
n,0.188412985,67,0,0.14662827,12500,9,0,1,0,0
n,0.801812727,51,0,1.362637363,1000,4,0,0,0,0
n,0.16899155,50,0,1166,,3,0,1,0,0
n,0.126554333,47,1,0.37584672,5166,11,0,2,0,0
n,0.028918884,55,0,2536,,11,0,2,0,
n,0.238985924,52,0,2688,,11,0,1,0,0
n,0.088173877,58,0,1842,,6,0,1,0,0
n,0.908015331,33,0,0.274949084,5400,4,0,1,0,4
n,0.955505562,58,0,0.070321656,7678,2,0,0,0,6
n,0.007452064,67,0,0.179498657,11169,8,0,1,0,0
n,0.301024702,43,0,0.521217507,4500,6,0,2,0,0
n,0,36,1,0.343191964,3583,6,0,2,0,0
n,0.014468533,82,0,4388,,25,0,2,0,0
n,0.024379404,44,0,0.003789184,2902,2,0,0,0,1
n,0.113672158,57,0,0.428892777,4000,5,0,1,0,1
n,0.123254711,78,0,3253,,16,0,1,0,1
n,0.086140124,85,0,0.512569463,3778,17,0,1,0,0
n,0.018303387,62,1,0.504436945,8000,32,0,1,0,0
n,0,61,1,0.307788421,2400,3,0,0,0,0
n,0.098903258,41,0,0.217046702,8200,18,0,3,0,0
n,0.033305766,51,0,14,,3,0,0,0,0
n,0.028008622,45,0,96,0,21,0,0,0,2
n,0.024843599,44,1,0.088497234,32000,12,0,1,0,2
n,0.008185813,39,0,0.431696788,13666,7,0,2,0,3
n,0.124523603,34,0,0.044525216,2200,3,0,0,0,0
n,0.118515259,45,0,0.384794234,4300,4,0,1,0,2
n,0.064351427,58,0,0.342487608,17550,11,0,5,0,0
