"id","Instance_number","RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30.59DaysPastDueNotWorse","DebtRatio","MonthlyIncome","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60.89DaysPastDueNotWorse","NumberOfDependents","Cluster","SeriousDlqin2yrs"
1,0,0.766127,45,2,0.802982,"9120",13,0,6,0,"2","cluster0","y"
2,1,0.957151,40,0,0.121876,"2600",4,0,0,0,"1","cluster0","n"
3,2,0.65818,38,1,0.085113,"3042",2,1,0,0,"0","cluster0","n"
4,3,0.23381,30,0,0.03605,"3300",5,0,0,0,"0","cluster0","n"
5,4,0.907239,49,1,0.024926,"63588",7,0,1,0,"0","cluster0","n"
6,5,0.213179,74,0,0.375607,"3500",3,0,1,0,"1","cluster0","n"
7,6,0.305682,57,0,5710,"?",8,0,3,0,"0","cluster0","n"
8,7,0.754464,39,0,0.20994,"3500",8,0,0,0,"0","cluster0","n"
9,8,0.116951,27,0,46,"?",2,0,0,0,"?","cluster0","n"
10,9,0.189169,57,0,0.606291,"23684",9,0,4,0,"2","cluster0","n"
11,10,0.644226,30,0,0.309476,"2500",5,0,0,0,"0","cluster0","n"
12,11,0.018798,51,0,0.531529,"6501",7,0,2,0,"2","cluster0","n"
13,12,0.010352,46,0,0.298354,"12454",13,0,2,0,"2","cluster0","n"
14,13,0.964673,40,3,0.382965,"13700",9,3,1,1,"2","cluster0","y"
15,14,0.019657,76,0,477,"0",6,0,1,0,"0","cluster0","n"
16,15,0.548458,64,0,0.209892,"11362",7,0,1,0,"2","cluster0","n"
17,16,0.061086,78,0,2058,"?",10,0,2,0,"0","cluster0","n"
18,17,0.166284,53,0,0.188274,"8800",7,0,0,0,"0","cluster0","n"
19,18,0.221813,43,0,0.527888,"3280",7,0,1,0,"2","cluster0","n"
20,19,0.602794,25,0,0.065868,"333",2,0,0,0,"0","cluster0","n"
21,20,0.200923,43,0,0.430046,"12300",10,0,2,0,"0","cluster0","n"
22,21,0.025656,38,0,0.475841,"3000",7,0,1,0,"2","cluster0","y"
23,22,1,39,0,0.241104,"2500",4,0,0,0,"0","cluster0","n"
