,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,coef
0,0,0,0,0,0,0,0,0,0,0,-1.3231675408787003
1,1,0,0,0,0,0,0,0,0,0,0.06608086947466893
2,0,1,0,0,0,0,0,0,0,0,-0.4531455851218449
3,0,0,1,0,0,0,0,0,0,0,2.9450190209877203
4,0,0,0,1,0,0,0,0,0,0,-0.09282868487721369
5,0,0,0,0,1,0,0,0,0,0,-0.24244965525116008
6,0,0,0,0,0,1,0,0,0,0,-0.07373829507914277
7,0,0,0,0,0,0,1,0,0,0,3.160421153163934
8,0,0,0,0,0,0,0,1,0,0,0.07086593738060379
9,0,0,0,0,0,0,0,0,1,0,2.622478893110718
10,0,0,0,0,0,0,0,0,0,1,0.0739718658159825
11,2,0,0,0,0,0,0,0,0,0,-0.0017984279522029664
12,1,1,0,0,0,0,0,0,0,0,-0.022047965097497874
13,1,0,1,0,0,0,0,0,0,0,0.02928189401955086
14,1,0,0,1,0,0,0,0,0,0,-0.0017419399278836719
15,1,0,0,0,1,0,0,0,0,0,-0.07120432581190543
16,1,0,0,0,0,1,0,0,0,0,0.031721105972683745
17,1,0,0,0,0,0,1,0,0,0,0.07744292276894131
18,1,0,0,0,0,0,0,1,0,0,-0.019456963390215874
19,1,0,0,0,0,0,0,0,1,0,0.030717190283689938
20,1,0,0,0,0,0,0,0,0,1,0.013816624432412723
21,0,2,0,0,0,0,0,0,0,0,-0.023512537330839554
22,0,1,1,0,0,0,0,0,0,0,0.12079558362235912
23,0,1,0,1,0,0,0,0,0,0,-0.13068525088588823
24,0,1,0,0,1,0,0,0,0,0,-0.03743364910943853
25,0,1,0,0,0,1,0,0,0,0,0.006775568605756327
26,0,1,0,0,0,0,1,0,0,0,0.011753264915998249
27,0,1,0,0,0,0,0,1,0,0,0.005486734669532537
28,0,1,0,0,0,0,0,0,1,0,-0.08497593613141291
29,0,1,0,0,0,0,0,0,0,1,-0.02965287342439918
30,0,0,2,0,0,0,0,0,0,0,-0.48791122820624183
31,0,0,1,1,0,0,0,0,0,0,0.15472363869913494
32,0,0,1,0,1,0,0,0,0,0,-0.02573349427234258
33,0,0,1,0,0,1,0,0,0,0,-0.19849185995482296
34,0,0,1,0,0,0,1,0,0,0,-0.06617653821219874
35,0,0,1,0,0,0,0,1,0,0,0.08122360713073194
36,0,0,1,0,0,0,0,0,1,0,-0.14759352162278688
37,0,0,1,0,0,0,0,0,0,1,-0.09541228327227108
38,0,0,0,2,0,0,0,0,0,0,0.0001455728373575421
39,0,0,0,1,1,0,0,0,0,0,0.24605590944950048
40,0,0,0,1,0,1,0,0,0,0,0.0461891000545901
41,0,0,0,1,0,0,1,0,0,0,0.06505555411544213
42,0,0,0,1,0,0,0,1,0,0,0.008371715565878105
43,0,0,0,1,0,0,0,0,1,0,0.11384798788387519
44,0,0,0,1,0,0,0,0,0,1,-0.08354376796457569
45,0,0,0,0,2,0,0,0,0,0,0.0013884350661864048
46,0,0,0,0,1,1,0,0,0,0,0.05248275532550117
47,0,0,0,0,1,0,1,0,0,0,0.02433499740294069
48,0,0,0,0,1,0,0,1,0,0,-0.027736985785928474
49,0,0,0,0,1,0,0,0,1,0,-0.05710174269687785
50,0,0,0,0,1,0,0,0,0,1,-0.09731953371967522
51,0,0,0,0,0,2,0,0,0,0,0.03858388197944794
52,0,0,0,0,0,1,1,0,0,0,-0.5775674518766067
53,0,0,0,0,0,1,0,1,0,0,0.014955562548029011
54,0,0,0,0,0,1,0,0,1,0,-0.28531576728254526
55,0,0,0,0,0,1,0,0,0,1,-0.03345988807507389
56,0,0,0,0,0,0,2,0,0,0,-0.48465782791626216
57,0,0,0,0,0,0,1,1,0,0,0.11870721769224095
58,0,0,0,0,0,0,1,0,1,0,0.043234250862575534
59,0,0,0,0,0,0,1,0,0,1,-0.008330072683728748
60,0,0,0,0,0,0,0,2,0,0,0.0034670274884429633
61,0,0,0,0,0,0,0,1,1,0,-0.13138086542268368
62,0,0,0,0,0,0,0,1,0,1,0.0042883203394691784
63,0,0,0,0,0,0,0,0,2,0,0.6865102768005911
64,0,0,0,0,0,0,0,0,1,1,0.13083942078303634
65,0,0,0,0,0,0,0,0,0,2,-0.013090050428292022
