,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
49580,0,0.101979604,25,0,0.019710907,760.0,4,0,0,0,0.0
137319,0,0.203251336,30,0,0.508192169,3600.0,7,0,1,0,1.0
22462,0,0.0,56,0,0.02309769,10000.0,3,0,0,0,1.0
76006,0,0.9999999,33,0,0.050351722,2700.0,1,1,0,0,2.0
47830,1,0.428823256,32,0,0.530734633,2000.0,10,0,0,0,0.0
81432,1,0.807621799,50,2,930.0,,4,1,0,0,0.0
91852,0,0.275788968,47,0,0.216889709,6500.0,5,0,1,0,3.0
27865,0,0.140864402,72,0,0.479631053,1300.0,9,0,1,0,0.0
20912,0,0.029820897,41,0,0.119643469,5833.0,3,0,1,0,0.0
11705,0,0.0,57,0,0.208921513,3541.0,4,0,0,0,0.0
99418,0,0.614877025,31,0,0.916225325,2076.0,7,0,0,0,2.0
17902,0,0.061353551,36,0,0.350616136,4300.0,11,0,1,0,2.0
100499,0,0.000611239,45,0,0.588564574,2500.0,12,0,1,0,0.0
40717,1,0.922275671,47,0,1892.0,,10,1,1,1,2.0
118157,0,0.095768538,45,0,0.012831195,6000.0,2,0,0,0,2.0
11812,0,0.040740579,58,1,0.015110305,3308.0,4,0,1,0,0.0
28391,0,1.071713147,30,2,0.296064959,1600.0,2,0,0,0,0.0
77422,0,0.023672503,85,0,20.0,,3,0,0,0,0.0
38101,0,0.670896751,45,0,0.275338491,10339.0,7,0,3,0,0.0
40423,0,0.218260182,51,0,1.688358641,1382.0,8,0,1,0,6.0
61266,0,0.01432235,80,0,0.015992004,2000.0,14,0,0,0,0.0
53057,0,0.962869142,30,1,0.28391888,3500.0,9,0,0,0,5.0
142216,0,0.010945686,79,0,0.162077105,2541.0,11,0,0,0,0.0
113474,0,0.013312451,74,0,0.296065259,4167.0,15,0,2,0,0.0
138769,0,0.057738408,60,0,1578.0,,7,0,1,0,0.0
17935,0,0.332889481,24,0,0.004372267,1600.0,1,0,0,0,1.0
13561,0,0.9999999,25,0,0.047476262,2000.0,2,0,0,0,0.0
118780,0,0.481878038,43,0,0.634376178,5305.0,6,0,1,0,2.0
85024,0,0.074889868,40,0,0.107170755,6400.0,9,0,0,0,0.0
9607,0,0.004157557,42,0,0.000433714,6916.0,5,0,0,0,0.0
68288,0,0.770988974,45,0,0.228419655,12800.0,4,0,1,0,5.0
97392,0,0.011544817,51,0,0.408287968,9000.0,17,0,2,0,1.0
75423,0,0.071464268,25,0,0.605780347,864.0,3,0,0,0,0.0
53179,0,0.890103362,52,0,0.243957573,5750.0,5,1,0,0,0.0
69923,0,0.216395035,61,2,0.259108806,16000.0,14,0,1,0,0.0
108754,0,0.133781735,38,0,0.439195101,8000.0,14,0,2,0,2.0
82925,0,0.277307349,58,0,0.08853031,9171.0,3,0,0,0,0.0
148668,0,0.002162459,70,0,0.295852074,4001.0,8,0,1,0,0.0
74513,0,0.125674083,34,0,0.30994152,6668.0,10,0,1,0,0.0
130932,0,0.006347734,46,0,0.002183406,5495.0,8,0,0,0,0.0
21041,0,0.110753396,63,1,135.0,,4,0,0,0,
56123,0,0.604279997,59,0,0.570788913,9379.0,15,0,1,0,2.0
71125,0,0.0,73,0,0.026328945,6000.0,4,0,0,0,0.0
26534,1,1.287356322,34,1,0.140388769,4166.0,5,0,0,0,4.0
33751,0,0.521250833,63,0,0.826238947,4862.0,22,0,2,0,1.0
51811,0,0.424155196,44,0,0.45225091,12083.0,11,0,3,0,2.0
26547,0,0.072830895,39,0,0.220593136,3000.0,7,0,0,0,3.0
45992,0,0.171864225,64,2,1.152974504,6000.0,16,0,3,0,0.0
79470,0,0.06081031,77,0,311.0,,15,0,0,0,0.0
79945,0,0.107988961,77,0,224.0,,7,0,0,0,0.0
7324,0,0.021422233,37,0,0.389322136,5000.0,19,0,1,0,0.0
50520,0,0.025722364,74,0,0.003720238,2687.0,3,0,0,0,0.0
119767,0,0.9999999,64,0,0.364694471,10309.0,7,0,3,0,0.0
27971,0,0.05964996,69,0,0.210973725,3881.0,13,0,1,0,0.0
59272,0,0.466277551,53,0,0.625178554,10500.0,10,0,2,0,1.0
8196,1,0.9999999,42,0,0.0,3323.0,0,0,0,1,2.0
86419,0,0.191787936,57,0,0.441010725,5500.0,15,0,2,0,0.0
40137,0,0.065598542,61,0,0.231838975,5464.0,3,0,1,0,0.0
90266,0,0.995579878,45,2,0.176792399,10418.0,4,0,2,1,4.0
52417,0,0.068034769,52,0,0.136640911,14753.0,13,0,1,0,4.0
138280,0,0.0,34,0,765.0,,10,0,0,0,2.0
118647,0,0.064524618,38,0,1148.0,0.0,4,0,1,0,0.0
4577,0,0.012527934,40,0,1627.0,,17,0,2,0,5.0
58840,0,0.348734171,81,0,0.881355932,2300.0,10,0,1,0,0.0
91388,0,0.9500998,26,0,0.091009784,5416.0,2,0,0,0,0.0
52128,0,0.056775039,53,0,1185.0,,13,0,1,0,0.0
134660,0,0.006666349,65,1,0.001738375,2300.0,5,0,0,0,0.0
71770,0,0.003355818,51,0,0.683058633,3700.0,9,0,1,0,0.0
42981,0,0.008599364,82,0,0.003085362,5833.0,9,0,0,0,0.0
48495,1,0.873860629,55,0,3953.0,,11,0,2,0,
51537,0,0.605018506,35,0,0.206331575,3600.0,7,0,0,0,0.0
60049,0,0.83919755,69,0,0.638945694,4400.0,7,0,1,0,0.0
98318,0,0.598361675,64,1,2489.0,,20,0,2,0,0.0
76821,0,0.0,69,0,0.087165134,2500.0,11,0,0,0,0.0
14733,0,0.02461504,68,0,0.228601409,6670.0,20,0,2,0,0.0
93947,0,0.059019599,40,0,0.335375973,7832.0,9,0,1,0,0.0
33963,0,0.99960016,70,0,1236.0,,4,0,1,0,0.0
49149,0,0.076764951,71,0,893.0,,8,0,0,0,
112817,1,0.9999999,54,1,0.168186618,10416.0,7,0,1,1,0.0
35892,0,0.315020048,35,0,3146.0,,9,0,2,0,1.0
31887,0,0.051486752,59,0,0.026278206,3500.0,4,0,0,0,0.0
65456,1,0.877404753,49,1,3206.0,,10,0,1,1,2.0
128238,0,0.032829759,62,0,0.224867725,6425.0,11,0,3,0,0.0
60003,0,0.687986567,29,1,0.102435978,1600.0,6,0,0,0,0.0
53121,0,0.615455754,49,0,0.55654299,4500.0,5,0,1,2,1.0
75039,0,0.405584549,69,0,0.228663254,8400.0,10,0,1,0,0.0
135337,0,0.021625855,37,0,0.261489699,4416.0,8,0,1,0,0.0
25810,0,0.439105231,60,0,0.265455757,6000.0,7,0,1,0,0.0
27575,0,0.276844799,43,0,0.456916667,11999.0,11,0,3,0,2.0
33085,0,0.385917909,62,0,0.38646573,6900.0,10,0,1,0,0.0
6756,0,0.266146771,76,0,0.009283504,4200.0,1,0,0,0,0.0
54942,0,0.49530094,49,1,0.379679144,2804.0,5,0,0,0,0.0
69420,0,0.006566557,47,0,0.135939782,8900.0,6,0,2,0,1.0
54640,0,0.126793752,76,0,0.041227394,11666.0,6,0,1,0,1.0
80502,0,0.269170633,71,0,0.616691654,2000.0,7,0,0,0,0.0
