"X","SeriousDlqin2yrs","RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30.59DaysPastDueNotWorse","DebtRatio","MonthlyIncome","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60.89DaysPastDueNotWorse","NumberOfDependents"
149646,0,0.9999999,24,0,29,NA,2,0,0,0,NA
106952,0,0.212859564,41,0,3141,NA,17,0,1,0,2
129084,0,0.542660074,44,0,0.331213696,16354,14,0,3,0,1
15422,0,0.049243956,65,0,54,NA,5,0,0,0,0
28424,0,0.099161158,74,0,0.01766078,3000,3,0,0,0,0
107081,0,0.040165692,61,0,0.422066688,12715,17,0,3,0,1
13409,0,0.54442558,49,0,1.071359066,3082,12,0,3,0,3
119761,0,0.012633383,52,0,0.006939459,4178,11,0,0,0,0
82407,0,0,28,0,0.399720056,5000,8,0,1,0,0
109633,0,0.497831042,35,0,0.306010929,1829,7,0,0,0,0
26627,0,0.631491234,47,1,0.115776845,5000,5,1,0,1,1
6035,0,0.719355764,36,0,0.750699907,7500,18,0,2,0,0
108655,0,0.083330688,79,0,0.01028481,7583,3,0,0,0,0
44141,0,0.9999999,44,0,0.242119178,9833,8,0,2,0,3
17982,0,0.330120942,36,0,0.558271031,15916,18,0,6,0,0
110602,0,0.07247511,50,0,0.140705727,9096,6,0,1,0,1
124086,0,0.9999999,40,0,0.393569845,901,1,0,0,0,2
81473,0,0.656213751,40,0,0.948650773,3816,6,0,2,0,0
52953,0,0.719331092,31,0,0.371171171,2219,6,0,0,0,0
115623,0,0.186022032,36,0,0.124516731,7500,7,0,0,0,0
5190,0,0.38350946,49,0,0.27424803,6216,11,0,1,0,3
80723,0,0.030348896,66,0,620,NA,10,0,0,0,1
73208,0,0.002090814,65,0,1,NA,1,0,0,0,0
126194,0,0.708681302,66,2,0.38628731,26500,18,0,2,0,1
36225,0,0,73,0,0,3071,1,0,0,0,0
122323,0,0.336134454,54,0,0.271289343,6258,9,0,2,0,1
143060,0,0.9999999,48,0,0,NA,0,0,0,0,0
15294,0,0.182266514,57,0,10141,NA,15,0,7,0,0
118,0,0.033461782,44,0,1.243362832,4067,5,0,2,0,1
54551,0,0.129498775,44,0,0.374162381,6416,15,0,1,0,1
114272,0,0.203108483,58,0,0.705359702,3488,4,0,1,0,0
24562,0,0.301439473,53,0,0.243340533,12500,19,0,3,0,0
133654,0,2.543376821,42,2,0.280074779,23000,6,0,1,0,1
79775,0,0.9999999,30,0,0.305609284,1033,0,0,0,0,0
146245,0,0.550448318,49,1,0.464325628,17000,12,0,5,0,0
18327,0,0.042654431,80,0,0.344695028,3901,15,0,1,0,0
17977,0,0.867863671,58,0,0.469299599,3240,24,0,1,0,0
64702,0,0,57,0,6511,NA,6,0,2,0,2
22879,0,0.032986494,46,0,0.180932296,13750,7,0,2,0,3
107066,0,0.011257685,42,1,0.351699534,10090,12,0,2,0,2
133908,0,0.148560473,49,0,0.385078836,7800,11,0,2,0,1
11716,0,0.344283487,52,0,0.269653768,7364,3,0,1,0,0
10891,0,0.033269473,80,0,21,NA,2,0,0,0,NA
143748,0,0.156662086,50,0,0.314288666,9678,10,0,1,0,1
119739,0,0.184201755,55,0,600,NA,3,0,1,0,NA
73383,0,0.021796932,56,0,45,NA,12,0,0,0,1
22292,0,0.014419619,67,0,0.0069986,5000,11,0,0,0,0
74003,0,0.135153013,63,0,5488,NA,8,0,3,0,0
108021,0,0.129147169,59,0,0.33664173,13500,17,0,2,0,0
664,0,0.442798278,51,0,2092,NA,11,0,0,0,2
59836,0,0.306556073,29,0,0.684298209,2400,4,0,1,0,0
15154,0,0.592348575,56,0,0.605095541,6750,20,0,1,0,0
74364,0,0.9999999,30,0,0,NA,1,0,0,0,0
73603,0,0.02853991,76,0,0.194282293,6680,8,0,1,0,1
47457,0,0.148920973,54,0,87,NA,3,0,0,0,0
96365,0,0.979898467,67,0,0.374350352,13083,9,0,2,0,1
19631,0,1.504983389,33,0,0.010080645,2479,2,0,0,2,2
67905,0,0.56508134,39,0,0.271790066,3200,10,0,0,0,1
86644,0,0.331608046,41,0,0.717276901,8930,13,0,3,0,1
31443,0,0,47,0,2010,NA,4,0,2,0,0
30351,0,0.14849297,79,0,0.074292571,10000,15,2,0,1,0
119134,0,0.068925538,56,0,0.436884625,7921,9,0,1,0,2
137836,0,0.11019786,49,1,0.27779266,11198,12,0,2,0,3
68815,0,0.000339619,34,0,1.293853073,2000,5,0,1,0,0
10405,0,0.005585305,71,0,57,56,6,0,2,0,0
6394,0,0.502441033,44,0,0.829807389,3166,5,0,2,0,1
6076,0,0.07035295,51,0,659,NA,5,0,1,0,1
97943,0,0.9999999,30,0,0.4028158,2556,4,0,0,0,1
70434,0,0.012817599,85,0,0.871836735,2449,3,0,2,0,0
59699,0,0.37089787,34,0,758,NA,5,0,0,0,0
62560,0,0.573809347,47,0,0.528790787,2083,14,0,0,0,0
130063,0,0.136345462,26,1,0.003844675,2600,1,0,0,0,0
43340,0,0,52,0,0.902809719,10000,13,0,3,0,0
82661,0,0.081961846,51,0,0.247972448,9000,6,0,2,0,2
106105,0,0.094552518,56,0,0.330933525,8333,18,0,2,0,0
87889,0,0.137743113,48,0,0.415089662,12100,8,0,1,0,3
53370,0,0.001534577,48,0,648,NA,6,0,1,0,3
119068,0,0.525684234,56,0,5595,NA,6,0,3,0,2
137992,0,0.018040591,40,1,0.370638924,9515,9,0,1,0,1
30663,0,0.109792057,38,0,0.246546672,7166,9,0,1,0,1
59073,0,0.10356773,68,0,0.126591577,4083,7,0,0,0,0
38952,0,0.029736435,67,0,0.01039792,5000,5,0,0,0,2
138472,0,0.156948274,55,0,0.262014787,2163,5,0,0,0,0
128697,0,0.034578644,76,2,2.054308904,8377,27,0,15,0,1
77844,0,0.563911464,56,0,0.490623637,4585,7,0,2,0,0
46589,0,0.010883993,28,0,0.000910747,3293,4,0,0,0,2
106316,0,0.039797347,40,0,0.653299653,3166,6,0,1,0,2
88602,0,0.328233588,55,0,3223,NA,8,0,2,0,0
125026,0,0.147914083,63,0,0.734088637,3000,11,0,2,0,0
107168,0,0.050952229,55,0,6347,NA,11,0,1,0,0
8289,0,0.157394421,61,0,91,NA,3,0,0,0,0
43245,0,0.056323592,58,0,0.112289926,10650,5,0,0,0,1
60517,0,0.162825759,39,1,0.927733842,3666,7,0,2,0,0
56241,0,0.968097227,68,4,0.663908997,2900,12,0,1,0,0
7371,0,0.219388532,64,0,0.082816652,6773,13,0,0,0,1
35968,0,0.0019999,82,0,5,NA,3,0,0,0,NA
143196,0,0.948010398,28,0,0.417401529,1700,6,0,0,0,0
67522,0,0.623580005,64,0,0.71688052,6000,7,0,1,0,0
76426,0,0.9999999,65,0,0.661785642,4916,9,0,2,0,0
97884,0,0.027871048,65,0,0.175522797,5833,8,0,1,0,0
124951,0,0.9960005,66,0,0.159568086,3333,8,0,0,0,0
149069,0,0.04275829,76,0,32,NA,3,0,0,0,NA
128983,0,0.602284898,25,1,0.183204199,4000,6,0,0,0,1
126599,0,0.297349228,46,2,0.398176739,6800,17,0,2,0,1
112025,0,0.21701292,60,1,0.332914748,7166,23,0,2,0,1
110313,0,0.690473545,65,0,1.554178329,2500,7,0,2,0,0
68709,0,0.129618339,25,2,1341,NA,9,0,0,0,0
69503,0,1.73089701,25,0,0.009369144,1600,1,0,0,1,0
123798,0,0.074315101,83,0,0.217496962,6583,9,0,2,0,0
108340,0,0.158929407,49,0,0.340002031,9846,14,0,3,0,3
117458,0,0.049190162,31,0,0.164074897,3150,3,0,0,0,0
7357,0,0.116076491,56,0,0.207765865,3450,5,0,0,0,0
34928,0,0.104154978,38,0,0.54535539,5500,4,0,2,0,0
90899,0,0.536849114,61,1,0.498435161,7348,17,0,1,0,1
108293,0,0.130465914,69,0,0.257388073,11301,7,0,1,0,1
75770,0,0.734265734,26,0,0.026731214,4750,3,0,0,0,0
122927,0,0.187289028,40,0,2096,NA,11,0,1,0,0
145189,0,0.040356299,46,0,0.371608112,3500,4,0,1,0,0
94775,0,0.220850045,59,0,0.410514541,9833,19,0,2,0,0
60328,0,0.233485034,54,0,2638,NA,13,0,3,0,0
12190,0,0.31240747,62,0,0.69950918,5500,10,0,1,0,0
139513,0,0.340791201,52,1,0.652988403,1120,6,0,0,0,1
3146,0,0.026649334,85,0,0.008854613,3500,5,0,0,0,0
21285,0,0.207545482,48,0,0.207960773,10400,11,0,1,0,0
73649,0,0.081636587,45,0,0.519511885,7866,10,0,2,0,0
118079,0,0.070502037,35,0,0.2465993,5145,5,0,2,0,0
35106,0,0.962459913,31,0,484,NA,2,0,0,0,0
79574,0,0.023268748,56,2,0.482088309,3600,12,0,3,0,2
35696,0,0.953234109,41,0,0.24068323,7083,8,0,0,0,0
68369,0,0.01687865,77,0,6,NA,1,0,0,0,0
61805,0,0.046821147,63,0,0.279591521,6462,18,0,2,0,1
7574,0,0,35,0,6.839691338,9200,5,0,3,0,2
138929,0,0.9999999,23,0,0.431691966,2700,7,0,0,0,0
29583,0,0.746663131,67,0,0.982437179,3700,16,0,2,0,0
