SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.027567546,40,0,0.411235342,11000.0,8,0,2,0,2.0
0,0.003252947,46,0,0.043440786,5800.0,10,0,1,0,0.0
0,0.069512841,46,0,0.205210531,10900.0,15,0,1,0,4.0
0,0.191351081,66,1,2155.0,,14,0,2,0,0.0
0,0.033489518,62,0,0.226731921,11850.0,28,0,3,0,0.0
0,0.611809215,29,0,321.0,,8,0,0,0,0.0
0,0.0,73,0,0.137807926,2800.0,4,0,1,0,0.0
0,0.004595129,52,0,0.39095856,7166.0,7,0,1,0,0.0
0,0.017543244,52,0,0.001448825,9662.0,3,0,0,0,4.0
0,0.136147091,49,0,0.264091989,8000.0,10,0,2,0,2.0
0,0.030108092,62,0,0.133307941,5250.0,9,0,1,0,0.0
0,0.094985309,40,0,3378.0,0.0,10,0,2,0,3.0
0,0.957008598,54,1,0.107296137,2096.0,3,0,0,0,0.0
0,0.510595924,54,1,0.615242616,3791.0,15,0,0,0,0.0
0,0.019715846,71,0,230.0,,8,0,0,0,0.0
0,0.011633789,41,0,0.752428109,5250.0,12,0,4,0,0.0
0,0.529427823,68,0,0.729383644,5856.0,14,0,2,0,1.0
0,0.074167488,56,0,2958.0,,19,0,2,0,
0,0.9999999,54,0,0.048313203,2400.0,2,0,0,0,1.0
0,0.045621781,67,0,0.054155668,12500.0,13,0,0,0,0.0
0,0.028282927,78,0,18.0,,8,0,0,0,
0,0.9999999,33,0,0.0,1647.0,0,0,0,0,1.0
0,0.224320871,45,0,0.544829741,3200.0,4,0,1,0,0.0
0,0.054699746,31,0,0.134078212,3400.0,7,0,0,0,1.0
0,0.671884698,71,0,0.311337732,5000.0,12,0,2,0,0.0
0,0.9999999,50,0,0.548166062,2480.0,3,0,1,1,2.0
0,0.104086445,49,0,0.357647277,10761.0,11,0,2,0,2.0
0,0.011509817,32,1,0.189375893,4197.0,6,0,0,1,0.0
0,0.232710609,48,2,0.092323894,8545.0,8,0,0,1,2.0
0,0.666587311,29,0,1.083333333,3671.0,7,0,1,0,0.0
0,0.238594588,52,0,0.474254291,6000.0,15,0,2,0,2.0
0,0.341517199,38,0,0.217245241,16073.0,19,0,2,0,1.0
0,0.009799755,52,0,0.07165581,6600.0,6,0,1,0,0.0
0,0.189360355,52,0,0.742751956,2172.0,12,0,1,0,2.0
0,0.024670782,78,0,392.0,,6,0,1,0,
0,0.328140751,71,0,0.456757309,4890.0,10,0,1,0,0.0
1,0.677344917,38,3,0.24227835,13500.0,9,0,1,0,3.0
0,0.9999999,38,0,1220.0,0.0,4,0,1,0,2.0
0,0.204060071,36,0,0.138190598,7040.0,4,0,0,0,0.0
0,0.26785797,37,0,0.647423479,2580.0,10,0,0,0,2.0
0,0.042593682,37,0,0.185855492,7182.0,8,0,1,0,2.0
0,0.002549873,74,0,1.0,,1,0,0,0,0.0
0,0.021956507,52,0,0.355888551,4270.0,3,0,1,0,2.0
0,0.087021826,54,0,814.0,,11,0,0,0,0.0
0,0.970555723,56,0,1.736318408,2411.0,8,0,3,0,1.0
0,0.202439878,67,0,0.361527694,5000.0,11,0,1,0,0.0
0,0.19931715,60,0,0.599675041,8000.0,16,0,2,0,0.0
0,0.193942549,42,0,0.464928473,4333.0,9,0,1,0,2.0
0,0.291518073,65,0,0.640997831,7375.0,25,0,5,0,1.0
0,0.082472265,42,0,0.27802652,11613.0,21,0,2,0,2.0
0,0.254513338,46,0,2123.0,,8,0,2,1,0.0
0,0.921692769,27,0,0.078830994,5200.0,4,0,0,0,0.0
0,0.001386496,48,0,0.282968042,8166.0,13,0,1,0,0.0
0,0.6351936,37,0,0.456608127,7800.0,13,0,2,0,2.0
0,0.017904452,55,0,1058.0,,8,0,1,1,
0,0.055114896,71,0,0.181552635,8900.0,9,0,2,0,0.0
0,0.292408603,45,0,0.350913995,6673.0,7,0,2,0,3.0
0,0.222766418,34,0,0.246375362,10000.0,7,0,1,0,2.0
0,0.083222227,57,0,0.161517696,6667.0,7,0,1,0,2.0
0,0.447105788,29,0,0.219356708,3450.0,4,0,0,0,2.0
0,0.027423906,69,0,0.120287971,10000.0,7,0,2,0,0.0
0,0.141646015,38,0,0.442711458,5000.0,8,0,2,0,1.0
0,0.432587469,45,0,0.332828617,10566.0,10,0,1,0,2.0
0,0.054655348,83,1,0.202949263,4000.0,12,0,1,0,0.0
0,0.809960005,61,0,0.381374089,7000.0,7,0,2,0,1.0
0,0.431854815,35,0,0.264257482,3541.0,7,0,1,0,2.0
0,0.0,35,0,0.00159936,2500.0,9,0,0,0,0.0
0,0.0,30,0,0.8718802,600.0,2,0,0,0,0.0
0,0.9999999,53,0,0.0,,0,0,0,0,
0,0.008392013,49,0,0.001318764,5307.0,3,0,0,0,0.0
0,0.055539683,65,0,720.0,,4,0,1,0,0.0
0,0.96583618,46,0,0.324552971,5200.0,4,0,1,0,0.0
1,0.373295238,33,3,0.762111894,6666.0,12,0,4,0,0.0
0,0.014333546,45,0,622.0,0.0,15,0,0,0,0.0
0,0.023661476,51,0,0.033837293,4166.0,30,0,0,0,2.0
0,0.11138879,75,0,0.263903353,4800.0,11,0,1,0,0.0
0,0.009479621,70,0,0.002544529,2750.0,2,0,0,0,0.0
0,0.328122993,55,0,0.817897763,8000.0,19,0,6,0,0.0
0,0.147368662,78,0,0.068977008,3000.0,11,0,0,0,0.0
1,0.705224633,39,0,0.176735306,7332.0,6,0,0,0,2.0
0,0.027972948,35,0,0.232953038,3768.0,4,0,0,0,0.0
0,0.566178687,58,0,0.870578327,3561.0,15,0,4,0,0.0
0,0.721739921,47,0,0.315740569,5380.0,6,0,1,0,0.0
0,0.130301521,37,1,0.327143422,7592.0,13,0,1,0,1.0
0,0.042319828,34,0,0.403704793,3400.0,12,0,1,0,0.0
0,0.402235506,56,0,2333.0,,18,0,1,0,1.0
0,0.00839832,45,0,0.081723942,14083.0,6,0,0,0,1.0
0,0.357347989,38,0,0.297896168,12500.0,9,0,1,0,3.0
0,0.070136026,47,0,0.247672253,12350.0,11,0,2,0,2.0
0,0.913928973,42,0,0.249675032,10000.0,9,0,2,0,0.0
0,0.512778795,49,1,0.25905718,18327.0,11,0,1,0,3.0
0,0.654896736,27,1,160.0,,3,0,0,0,
0,0.080213904,33,0,1798.0,,15,0,2,0,0.0
0,0.269328057,62,0,0.853654512,6060.0,22,0,3,0,1.0
0,0.17552496,58,0,0.217590239,3933.0,4,0,1,0,1.0
0,0.0,58,0,1486.0,,7,0,1,0,0.0
0,0.01803571,54,0,2818.0,,10,0,1,0,0.0
0,0.832550295,43,0,0.143222506,4300.0,5,0,0,0,1.0
0,0.046056114,57,0,0.178716904,1963.0,8,0,0,0,0.0
0,0.046531265,70,0,1470.0,1.0,7,0,2,0,1.0
0,0.0,63,0,0.0,8466.0,8,0,0,0,0.0
0,0.926121372,63,0,0.185140659,4158.0,4,0,1,0,2.0
0,0.115199355,63,0,0.21554878,9839.0,7,0,2,0,1.0
0,0.49948783,40,0,0.361878849,6982.0,5,0,3,0,0.0
0,0.098389623,62,0,0.077084583,3333.0,4,0,0,0,0.0
0,0.176870127,56,1,0.614077185,5000.0,16,0,1,0,0.0
0,0.916821111,47,1,3473.0,,11,0,1,0,0.0
1,0.648212226,27,1,0.03200883,3623.0,4,0,0,1,1.0
0,0.9999999,72,0,0.0,4654.0,1,0,0,0,0.0
0,0.567606175,32,2,1.332267093,2500.0,5,0,1,0,3.0
0,0.061324163,55,0,0.250327342,8400.0,6,0,2,0,0.0
0,0.9999999,50,0,0.566972077,4583.0,10,0,2,0,3.0
0,0.310627575,41,0,0.278653295,5583.0,7,0,2,0,3.0
0,0.533933258,43,0,0.211754014,3300.0,4,0,0,0,2.0
