"X","SeriousDlqin2yrs","RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30.59DaysPastDueNotWorse","DebtRatio","MonthlyIncome","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60.89DaysPastDueNotWorse","NumberOfDependents"
51485,0,0.081699271,62,0,44.8596882,2244,11,0,0,0,0
65316,0,0.9999999,23,0,44.5,1,1,0,0,0,0
35458,0,0.9999999,43,0,44.33333333,2,0,0,0,0,2
32535,0,0.06745414,76,0,44.17367367,5993,16,0,0,0,1
55193,0,0.049565014,79,0,44,NA,7,0,0,0,0
44638,0,0.9999999,45,0,44,0,1,0,0,0,0
106368,0,0.045373582,68,0,44,NA,8,1,0,0,0
39127,0,0.066487131,44,0,44,NA,3,0,0,0,0
34385,0,0.050031666,85,0,44,NA,2,0,0,0,0
11236,0,0.06414567,58,0,44,NA,2,0,0,0,0
52125,0,0.038803293,75,0,44,0,11,0,0,0,0
118272,0,0.028210996,37,0,44,NA,3,0,0,0,0
32207,0,0.032441422,58,0,44,NA,3,0,0,0,0
138243,0,0.053192908,55,0,44,NA,2,0,0,0,0
29502,0,0.012783763,77,0,44,NA,14,0,0,0,0
75358,0,0.055637774,76,0,44,NA,2,0,0,0,0
62739,0,0.771324864,42,0,44,NA,2,0,0,0,NA
36875,0,0.9999999,30,0,44,NA,0,0,0,0,0
108377,0,0.038024666,68,0,44,NA,2,0,0,0,0
48443,0,0.12232314,38,0,44,NA,2,0,0,0,0
48972,0,0.150664697,75,0,44,NA,1,0,0,0,NA
71138,0,0.170784967,41,0,44,NA,2,0,0,0,0
106820,0,0,59,0,44,NA,6,0,0,0,0
40491,0,0.027803075,81,0,44,NA,7,0,0,0,0
142861,0,0.098526765,86,0,44,NA,2,0,0,0,0
137912,0,0.037830067,59,0,44,NA,3,0,0,0,NA
84904,0,0.027290413,57,0,44,NA,5,0,0,0,0
57471,0,0.034114158,43,1,44,NA,7,0,0,0,0
79930,0,0.0700919,76,0,44,NA,5,0,0,0,0
45514,0,0.021400261,46,0,44,NA,6,0,0,0,0
94535,0,0.021311409,47,0,44,NA,7,0,0,0,0
142901,0,0.020609133,85,0,44,NA,7,0,0,0,0
63576,0,1171,87,0,43,NA,4,0,0,0,0
66147,0,1.672150411,60,4,43,NA,3,0,0,0,0
117168,0,0.035628607,54,0,43,NA,7,0,0,0,NA
139270,0,0.029989128,79,0,43,0,9,0,0,0,1
7418,0,0.055038728,67,0,43,NA,2,0,0,0,0
88566,0,0.04945755,76,0,43,NA,6,0,0,0,NA
107804,0,0.118187034,39,0,43,NA,2,0,0,0,0
145507,0,0.011939289,64,0,43,NA,8,0,0,0,0
14903,0,0.097628539,88,0,43,NA,4,0,0,0,NA
15082,0,0.055347233,69,0,43,NA,8,0,0,0,0
20082,0,0.042644842,73,0,43,NA,2,0,0,0,0
20342,0,0.9999999,51,0,43,NA,0,1,0,0,0
130623,0,0.015561527,57,0,43,NA,3,0,0,0,0
62496,0,0.033767996,66,0,43,NA,8,0,0,0,0
50367,0,0.9999999,61,0,43,NA,1,0,0,0,0
4700,0,0.081499638,55,0,43,NA,2,0,0,0,0
82876,0,0.044176178,68,0,43,NA,4,0,0,0,NA
21762,0,0.145585441,74,0,43,NA,2,0,0,0,0
146101,0,0.9999999,34,0,43,NA,0,2,0,0,0
39234,0,0.99467022,25,1,43,NA,2,0,0,0,NA
122438,0,0.027499491,72,0,43,NA,7,0,0,0,NA
19474,0,0.021402881,73,0,43,NA,17,0,0,0,0
84614,0,0.286942611,60,0,43,NA,2,0,0,0,0
118630,0,0.9999999,28,0,43,NA,0,1,0,0,0
91989,0,0.064372126,84,0,43,NA,4,0,0,0,NA
102483,0,0.022891015,55,0,43,NA,3,0,0,0,0
15600,0,0.037888182,49,0,43,NA,4,0,0,0,0
