X,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
42082,1,1.173509286,33,3,0.430443367,5570,13,5,0,2,2
47463,0,0.040118185,67,0,0.007237406,10500,17,0,0,0,0
6412,0,0.228882283,68,0,0.137877614,3872,6,0,0,0,0
142967,0,0.558521287,50,0,0.211545973,12800,21,0,1,0,1
51191,0,0,65,0,0.007198081,3750,4,0,0,0,0
101607,0,0.00028301,55,0,0,1468,6,0,0,0,3
78080,0,0.109020443,44,0,0.229872293,1800,5,0,0,0,0
71133,0,0,34,0,2.588555858,1100,6,0,1,0,1
92953,1,0.003454336,57,1,1954,,6,0,2,1,2
57691,0,0.168785839,43,0,0.488111206,8200,11,0,2,0,0
14734,0,0.199964574,46,1,0.384682449,14910,13,0,1,0,0
101685,0,0.331161611,45,1,0.351471405,1800,8,0,0,0,0
46801,0,0,60,0,0,4792,2,0,0,0,1
88538,0,0.470337288,30,0,0.142555438,2840,4,0,0,0,1
12670,0,0.229561588,76,0,0.390001628,6140,10,0,1,0,0
114441,0,0.385792468,74,0,0.312982881,6600,14,0,1,0,0
114188,0,0.000363623,44,0,1313,,10,0,1,0,0
76914,0,0.665942876,25,0,0.176964607,3333,10,0,0,0,0
26251,0,0.979351032,53,0,0.455673942,9666,8,0,2,0,0
58124,0,0.076191091,59,0,0.257499227,9700,15,0,2,0,1
6651,0,0.064093082,67,0,3213,,13,0,1,0,0
55682,0,0.013519933,53,0,0.168373984,12299,9,0,2,0,2
47055,0,0.110409193,38,0,0.345021828,7100,12,0,1,0,1
100960,0,0.02599675,70,0,6,,5,0,0,0,0
13631,0,1.016959419,50,2,1912,,3,0,2,0,0
124744,0,0.061129258,47,0,2343,,6,0,1,0,0
1899,0,0.049889802,44,1,2549,,6,0,1,0,0
146194,0,0.697163769,52,0,508,,4,0,0,0,2
128135,0,0.00417181,61,0,0.277761999,3520,17,0,0,0,0
140286,0,0.043766847,72,0,0.342705405,3200,6,0,1,0,0
71503,0,0.853367988,42,1,0.348691485,2712,17,0,0,0,0
81668,0,0,34,0,0.070236927,7132,3,0,0,0,0
70557,0,0.06512698,47,1,0.952019192,2500,4,0,2,0,1
67787,0,0.022965776,60,0,1994,,6,0,2,0,
116996,0,0.949670861,55,1,0.417186417,10100,12,0,1,0,0
106115,0,0.0036296,79,0,0.003199147,3750,11,0,0,0,0
99917,0,0.9999999,61,1,0.245266964,4700,4,1,1,0,1
57242,0,0.005249738,64,0,0.145585441,10000,5,0,2,0,0
86851,0,0.009489816,63,0,0.00079766,11282,8,0,0,0,1
54197,0,0.01247035,83,0,0.00548067,6750,19,0,0,0,2
118151,0,0.423540356,62,0,0.829973602,8333,14,0,5,0,1
24435,0,0.413143937,50,0,0.293835682,10430,10,0,1,0,3
67515,0,0.034643571,24,0,1,,1,0,0,0,0
35730,0,0.024723054,54,0,0.697614626,7000,13,0,4,0,0
69240,0,0.233395229,29,0,918,,6,0,0,0,4
100014,0,0.9999999,32,0,0,1862,1,1,0,0,0
